Name	UCSC_RefGene_Name	UCSC_RefGene_Group	Relation_to_UCSC_CpG_Island	normal_methylated_pct	tumor_unmethylated_pct
cg27278294	MTM1	TSS1500	N_Shore	0.9580615097856477	0.0723536036036036
cg21281799	DYRK2	TSS1500	N_Shore	0.8779123951537745	0.06916291291291292
cg03054529	SCRN1	TSS1500	S_Shore	0.9170549860205033	0.06662912912912913
cg00138126	PMEPA1	TSS1500	S_Shore	0.9897483690587139	0.06503378378378379
cg06938878	CALCB	TSS1500	N_Shore	0.994408201304753	0.06325075075075075
cg17582777	EFNA3	TSS1500	N_Shore	0.9534016775396086	0.062124624624624626
cg20648149	SYNE2	TSS1500	N_Shore	0.8890959925442684	0.06034159159159159
cg02245418	RNF115	TSS1500	N_Shore	0.994408201304753	0.05818318318318318
cg21541083	STXBP2	TSS1500	N_Shore	0.9906803355079217	0.0479542042042042
cg17703554	DCAF4L2	TSS200	Island	1.0	0.04373123123123123
cg09018824	LIMCH1	TSS1500	N_Shore	0.9366262814538676	0.04335585585585586
cg16148270	DIRAS3	TSS200	Island	0.972972972972973	0.042323573573573574
cg05921324	APOA4	TSS200	S_Shore	0.9179869524697111	0.0419481981981982
cg21631754	EXOC3L2	TSS200	Island	0.9375582479030755	0.03856981981981982
cg12833011	KCNIP1	TSS1500	N_Shore	0.9962721342031687	0.03791291291291291
cg18062196	DHX40	TSS1500	N_Shore	0.9990680335507922	0.036036036036036036
cg20342105	GNG3	TSS1500	N_Shore	0.9953401677539608	0.03200075075075075
cg20342105	BSCL2	TSS1500	N_Shore	0.9953401677539608	0.03200075075075075
cg06263943	CACNA1H	TSS1500	N_Shore	0.9897483690587139	0.024493243243243243
cg14615807	BSND	TSS1500	S_Shore	0.9981360671015843	0.023085585585585586
cg08263357	PLAGL1	TSS1500	Island	0.9664492078285182	0.020551801801801804
cg06711560	MAMDC4	TSS1500	S_Shore	0.9030754892823858	0.017267267267267267
cg27442349	NFKBIB	TSS1500	N_Shore	0.9748369058713886	0.009290540540540541
cg10337819	LTB4R2	TSS1500	N_Shore	0.9990680335507922	0.004598348348348348
